Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-07-24 19:10:08,Running,,3.09,25:51,8:23,7.16,421.0,104.64,,,2014-07-24-1910.gpx
2014-07-22 18:38:28,Running,,2.31,19:46,8:34,7.00,322.0,100.68,,,2014-07-22-1838.gpx
2014-07-21 18:06:55,Running,,3.10,25:57,8:23,7.16,423.0,107.07,,,2014-07-21-1806.gpx
2014-07-19 19:59:36,Running,,2.29,19:15,8:25,7.13,319.0,97.74,,,2014-07-19-1959.gpx
2014-07-15 19:15:05,Running,,2.98,26:01,8:44,6.87,410.0,107.37,,,2014-07-15-1915.gpx
2014-07-13 19:32:41,Running,,3.09,27:57,9:02,6.64,425.0,113.35,,,2014-07-13-1932.gpx
2014-07-10 19:32:19,Running,,3.08,26:49,8:43,6.88,418.0,98.55,,,2014-07-10-1932.gpx
2014-07-09 19:41:24,Running,,2.25,19:18,8:34,7.01,315.0,93.45,,,2014-07-09-1941.gpx
2014-07-08 20:04:11,Running,,2.27,18:42,8:15,7.27,309.0,76.95,,,2014-07-08-2004.gpx
2014-07-02 18:43:14,Running,,2.90,25:29,8:48,6.82,400.0,109.83,,,2014-07-02-1843.gpx
2014-06-30 18:36:50,Running,,2.30,19:39,8:33,7.01,321.0,98.83,,,2014-06-30-1836.gpx
2014-06-25 19:48:29,Running,,3.15,28:29,9:02,6.64,435.0,122.06,,,2014-06-25-1948.gpx
2014-06-23 19:22:58,Running,,2.28,19:47,8:40,6.92,317.0,99.56,,,2014-06-23-1922.gpx
2014-06-19 19:32:07,Running,,2.31,20:42,8:58,6.69,320.0,94.65,,,2014-06-19-1932.gpx
2014-06-17 19:52:58,Running,,3.18,32:05,10:05,5.95,427.0,126.19,,,2014-06-17-1952.gpx
2014-06-14 18:22:24,Running,,2.28,21:07,9:17,6.46,310.0,86.06,,,2014-06-14-1822.gpx
2014-06-13 20:20:12,Walking,,1.10,20:51,18:59,3.16,112.0,47.50,,,2014-06-13-2020.gpx
2014-06-12 19:15:52,Running,,2.29,20:08,8:48,6.81,319.0,94.64,,"Only a short one today. ",2014-06-12-1915.gpx
2014-06-10 18:58:15,Running,,3.17,33:32,10:35,5.67,412.0,95.05,,,2014-06-10-1858.gpx
2014-06-08 18:01:44,Running,,2.66,29:11,10:59,5.46,365.0,115.23,,"Day 2 of #cambridgeLife",2014-06-08-1801.gpx
2014-06-07 18:04:52,Running,,3.24,36:28,11:15,5.33,418.0,116.71,,"Hello running - it's been a while...",2014-06-07-1804.gpx
2014-06-06 08:22:56,Walking,,0.74,13:26,18:10,3.30,78.0,16.30,,,2014-06-06-0822.gpx
2014-05-27 07:58:39,Walking,,3.47,57:09,16:29,3.64,345.0,41.40,,,2014-05-27-0758.gpx
2014-05-24 14:24:10,Walking,,3.47,49:41,14:18,4.20,398.0,37.57,,,2014-05-24-1424.gpx
